Number Header,Random Header,Dates,Required Date
57,a,3/30/2000,['3/30/2000']
58,a,3/30/2000,['3/30/2000']
59,a,3/30/2000,['3/30/2000']
60,a,3/30/2000,['3/30/2000']
61,a,3/30/2000,['3/30/2000']
62,a,2/14/2000 | 1/5/2001,2/14/2000
63,a,2/14/2000 | 1/5/2001,2/14/2000
64,a,2/14/2000 | 1/5/2001,2/14/2000
65,a,4/9/2002 | 3/21/2003,4/9/2002
66,a,6/15/2001,['6/15/2001']
67,a,6/15/2001,['6/15/2001']
68,a,7/29/2003 | 7/30/2002,7/30/2002
69,a,3/15/2002 | 4/22/2002,3/15/2002
70,a,2/15/2001,['2/15/2001']
71,a,2/15/2001,['2/15/2001']
72,a,12/19/2000,['12/19/2000']
73,a,3/30/2000,['3/30/2000']
74,a,3/30/2000,['3/30/2000']
75,a,3/30/2000,['3/30/2000']
76,a,3/30/2000,['3/30/2000']
77,a,5/9/2000,['5/9/2000']
78,a,3/3/2000,['3/3/2000']
79,a,3/3/2000,['3/3/2000']
80,a,3/3/2000,['3/3/2000']
81,a,3/3/2000,['3/3/2000']
82,a,3/3/2000,['3/3/2000']
83,a,3/3/2000,['3/3/2000']
84,a,3/3/2000,['3/3/2000']
85,a,3/3/2000,['3/3/2000']
86,a,6/28/2000,['6/28/2000']
87,a,5/7/2001,['5/7/2001']
88,a,4/14/2000,['4/14/2000']
89,a,4/14/2000,['4/14/2000']
90,a,4/14/2000,['4/14/2000']
91,a,4/24/2000,['4/24/2000']
92,a,5/12/2000,['5/12/2000']
93,a,5/12/2000,['5/12/2000']
94,a,5/12/2000,['5/12/2000']
95,a,5/12/2000,['5/12/2000']
96,a,5/12/2000,['5/12/2000']
97,a,5/12/2000,['5/12/2000']
98,a,7/7/2000,['7/7/2000']
99,a,7/7/2000,['7/7/2000']
100,a,9/25/2001 | 1/11/2001,1/11/2001
101,a,10/26/2000,['10/26/2000']
102,a,2/23/2001,['2/23/2001']
103,a,1/24/2001,['1/24/2001']
104,a,8/8/2000 | 7/26/2001,8/8/2000
105,a,4/24/2000,['4/24/2000']
106,a,4/24/2000,['4/24/2000']
107,a,4/24/2000,['4/24/2000']
108,a,4/24/2000,['4/24/2000']
109,a,4/24/2000,['4/24/2000']
110,a,3/27/2001,['3/27/2001']
111,a,6/2/2000,['6/2/2000']
112,a,6/2/2000,['6/2/2000']
113,a,9/29/2000,['9/29/2000']
114,a,11/21/2000,['11/21/2000']
115,a,6/16/2000,['6/16/2000']
116,a,5/9/2000,['5/9/2000']
117,a,11/9/2000,['11/9/2000']
118,a,11/9/2000,['11/9/2000']
119,a,5/22/2000,['5/22/2000']
120,a,5/22/2000,['5/22/2000']
121,a,11/21/2000 | 4/9/2001 | 9/14/2001,11/21/2000
122,a,6/11/2001,['6/11/2001']
123,a,7/20/2001 | 10/12/2000,10/12/2000
124,a,6/5/2000,['6/5/2000']
125,a,6/13/2000,['6/13/2000']
126,a,7/13/2000,['7/13/2000']
127,a,7/13/2000,['7/13/2000']
128,a,9/1/2000,['9/1/2000']
129,a,7/7/2000,['7/7/2000']
130,a,6/29/2000,['6/29/2000']
131,a,6/ 2/2000 | 7/7/2000,6/2/2000
132,a,6/ 2/2000 | 7/7/2000,6/2/2000
133,a,1/16/2001 | 6/ 29/2000,6/29/2000
134,a,7/18/2000,['7/18/2000']
135,a,7/24/2000,['7/24/2000']
136,a,7/24/2000,['7/24/2000']
137,a,9/8/2000,['9/8/2000']
138,a,10/11/2000,['10/11/2000']
139,a,7/13/2000 | 12/29/2000,7/13/2000
140,a,7/14/2000 | 7/10/2001,7/14/2000
141,a,8/22/2000,['8/22/2000']
142,a,7/19/2000,['7/19/2000']
143,a,3/29/2001,['3/29/2001']
144,a,3/29/2001,['3/29/2001']
145,a,9/14/2001,['9/14/2001']
146,a,10/1/2002 | 2/25/2003,10/1/2002
147,a,11/21/2000,['11/21/2000']
148,a,11/21/2000,['11/21/2000']
149,a,7/1/2002,['7/1/2002']
150,a,7/1/2002,['7/1/2002']
151,a,2/12/2001,['2/12/2001']
152,a,2/12/2001,['2/12/2001']
153,a,2/12/2001,['2/12/2001']
154,a,8/7/2000 | 8/3/2001,8/7/2000
155,a,8/3/2001 | 8/7/2000,8/7/2000
156,a,7/16/2001,['7/16/2001']
157,a,9/15/2000,['9/15/2000']
158,a,3/8/2001,['3/8/2001']
159,a,3/12/2001,['3/12/2001']
160,a,8/22/2000,['8/22/2000']
161,a,10/17/2000,['10/17/2000']
162,a,10/17/2000,['10/17/2000']
163,a,9/25/2000,['9/25/2000']
164,a,10/23/2001,['10/23/2001']
165,a,1/30/2001,['1/30/2001']
166,a,1/30/2001,['1/30/2001']
167,a,6/ 11/2001 | 3/5/2001,3/5/2001
168,a,1/5/2001,['1/5/2001']
169,a,9/6/2000,['9/6/2000']
170,a,9/6/2000,['9/6/2000']
171,a,10/25/2000,['10/25/2000']
172,a,10/25/2000,['10/25/2000']
173,a,10/25/2000,['10/25/2000']
174,a,10/25/2000,['10/25/2000']
175,a,10/25/2000,['10/25/2000']
176,a,10/25/2000,['10/25/2000']
177,a,10/25/2000,['10/25/2000']
178,a,1/23/2002,['1/23/2002']
179,a,1/31/2001,['1/31/2001']
180,a,1/31/2001,['1/31/2001']
181,a,12/5/2001,['12/5/2001']
182,a,12/5/2001,['12/5/2001']
183,a,1/29/2001,['1/29/2001']
184,a,1/29/2001,['1/29/2001']
185,a,7/31/2001 | 9/29/2000,9/29/2000
186,a,11/15/2000,['11/15/2000']
187,a,12/8/2000,['12/8/2000']
188,a,8/14/2000,['8/14/2000']
189,a,3/8/1996 | 10/9/1995 | 5/23/1996,10/9/1995
190,a,10/9/1995 | 3/8/1996 | 5/23/1996,10/9/1995
191,a,12/4/1996 | 4/15/1997,12/4/1996
192,a,4/15/1997 | 12/4/1996,12/4/1996
193,a,3/8/1996 | 12/4/1996,3/8/1996
194,a,12/4/1996 | 3/8/1996,3/8/1996
195,a,3/8/1996 | 10/9/1995 | 3/8/1996 | 3/8/1996,10/9/1995
196,a,3/8/1996 | 3/8/1996 | 3/8/1996 | 10/9/1995,10/9/1995
197,a,3/8/1996 | 3/8/1996 | 10/9/1995 | 3/8/1996,10/9/1995
198,a,3/8/1996 | 3/8/1996 | 3/8/1996 | 10/9/1995,10/9/1995
199,a,3/8/1996 | 10/9/1995 | 3/8/1996 | 3/8/1996,10/9/1995
200,a,10/9/1995 | 9/6/1996,10/9/1995
201,a,10/9/1995 | 9/6/1996,10/9/1995
202,a,2/3/1997,['2/3/1997']
203,a,6/24/1997,['6/24/1997']
204,a,6/24/1997,['6/24/1997']
205,a,12/4/1996 | 4/15/1997 | 4/24/1997,12/4/1996
206,a,12/4/1996 | 4/24/1997 | 4/15/1997,12/4/1996
207,a,12/4/1996 | 4/15/1997 | 4/24/1997,12/4/1996
208,a,1/20/1998,['1/20/1998']
209,a,4/28/1998,['4/28/1998']
210,a,5/5/1998,['5/5/1998']
211,a,5/5/1998,['5/5/1998']
212,a,5/5/1998,['5/5/1998']
213,a,5/5/1998,['5/5/1998']
214,a,5/4/1998,['5/4/1998']
215,a,5/4/1998,['5/4/1998']
216,a,4/22/1998,['4/22/1998']
217,a,4/22/1998,['4/22/1998']
218,a,4/16/1998,['4/16/1998']
219,a,4/16/1998,['4/16/1998']
220,a,4/16/1998,['4/16/1998']
221,a,4/16/1998,['4/16/1998']
222,a,5/6/1998,['5/6/1998']
223,a,8/11/1998,['8/11/1998']
224,a,2/1/1999,['2/1/1999']
225,a,2/1/1999,['2/1/1999']
226,a,2/1/1999,['2/1/1999']
227,a,2/1/1999,['2/1/1999']
228,a,3/22/1999 | 3/21/2000,3/22/1999
229,a,7/20/1999,['7/20/1999']
230,a,10/10/2001,['10/10/2001']
231,a,8/25/2000 | 3/20/2000,3/20/2000
232,a,3/20/2000 | 8/25/2000,3/20/2000
233,a,8/25/2000 | 8/23/2001,8/25/2000
234,a,4/19/2000,['4/19/2000']
235,a,3/15/2001,['3/15/2001']
236,a,3/30/2001 | 10/11/2000,10/11/2000
237,a,10/25/2000,['10/25/2000']
238,a,10/25/2000,['10/25/2000']
239,a,10/25/2000,['10/25/2000']
240,a,10/25/2000,['10/25/2000']
241,a,10/25/2000,['10/25/2000']
242,a,10/25/2000,['10/25/2000']
243,a,12/4/2000,['12/4/2000']
244,a,1/19/2001 | 12/7/2001,1/19/2001
245,a,10/25/2001 | 10/8/2002,10/25/2001
246,a,11/30/2000,['11/30/2000']
247,a,11/30/2000,['11/30/2000']
248,a,11/30/2000,['11/30/2000']
249,a,11/30/2000,['11/30/2000']
250,a,1/31/2001,['1/31/2001']
251,a,11/15/2000,['11/15/2000']
252,a,11/15/2000,['11/15/2000']
253,a,11/15/2000,['11/15/2000']
254,a,6/ 26/2001 | 11/8/2001,6/26/2001
255,a,1/12/2001,['1/12/2001']
256,a,4/25/2002 | 5/18/2001,5/18/2001
257,a,5/18/2001 | 4/25/2002,5/18/2001
258,a,4/3/2001,['4/3/2001']
259,a,5/30/2001,['5/30/2001']
260,a,1/24/2001,['1/24/2001']
261,a,12/4/2000,['12/4/2000']
262,a,12/4/2000,['12/4/2000']
263,a,12/4/2000,['12/4/2000']
264,a,12/6/2000,['12/6/2000']
265,a,5/22/2001,['5/22/2001']
266,a,1/5/2001,['1/5/2001']
267,a,5/3/2001,['5/3/2001']
268,a,1/12/2001 | 3/1/2001 | 12/10/2001,1/12/2001
269,a,1/12/2001 | 12/10/2001 | 3/1/2001,1/12/2001
270,a,9/28/2001,['9/28/2001']
271,a,11/3/2000,['11/3/2000']
272,a,12/5/2000 | 12/15/2000,12/5/2000
273,a,5/1/2001 | 2/12/2001,2/12/2001
274,a,1/5/2001 | 12/15/2000 | 12/5/2000,12/5/2000
275,a,1/17/2001,['1/17/2001']
276,a,1/17/2001,['1/17/2001']
277,a,1/17/2001,['1/17/2001']
278,a,1/17/2001,['1/17/2001']
279,a,10/30/2001,['10/30/2001']
280,a,11/2/2001,['11/2/2001']
281,a,3/23/2001,['3/23/2001']
282,a,3/23/2001,['3/23/2001']
283,a,9/25/2001,['9/25/2001']
284,a,1/31/2001,['1/31/2001']
285,a,10/16/2001,['10/16/2001']
286,a,6/ 25/2001 | 8/3/2001,6/25/2001
287,a,12/10/2001,['12/10/2001']
288,a,12/10/2001,['12/10/2001']
289,a,1/19/2001 | 1/11/2002,1/19/2001
290,a,1/11/2002 | 1/19/2001,1/19/2001
291,a,5/24/2001 | 1/22/2001,1/22/2001
292,a,11/5/2001 | 8/30/2001,8/30/2001
293,a,2/7/2001,['2/7/2001']
294,a,2/16/2001,['2/16/2001']
295,a,2/16/2001,['2/16/2001']
296,a,6/23/2003 | 7/23/2002,7/23/2002
297,a,5/24/2002,['5/24/2002']
298,a,11/15/2001 | 4/18/2001,4/18/2001
299,a,11/16/2001,['11/16/2001']
300,a,3/12/2001 | 3/30/2001,3/12/2001
301,a,2/16/2001 | 12/21/2001,2/16/2001
302,a,2/16/2001 | 12/21/2001,2/16/2001
303,a,10/15/2002 | 11/16/2001,11/16/2001
304,a,10/25/2001 | 10/22/2002,10/25/2001
305,a,9/28/2001,['9/28/2001']
306,a,8/9/2001,['8/9/2001']
307,a,11/27/2001 | 2/4/2002,11/27/2001
308,a,7/3/2001,['7/3/2001']
309,a,2/15/2001,['2/15/2001']
310,a,2/15/2001,['2/15/2001']
311,a,2/15/2001,['2/15/2001']
312,a,2/15/2001,['2/15/2001']
313,a,3/28/2001,['3/28/2001']
314,a,3/28/2001,['3/28/2001']
315,a,3/28/2001,['3/28/2001']
316,a,3/16/2001,['3/16/2001']
317,a,8/22/2001,['8/22/2001']
318,a,5/9/2001,['5/9/2001']
319,a,10/10/2001 | 4/12/2001,4/12/2001
320,a,5/31/2001,['5/31/2001']
321,a,5/31/2001,['5/31/2001']
322,a,8/1/2001,['8/1/2001']
323,a,8/1/2001,['8/1/2001']
324,a,5/11/2001,['5/11/2001']
325,a,5/11/2001,['5/11/2001']
326,a,3/15/2002,['3/15/2002']
327,a,6/4/2001,['6/4/2001']
328,a,6/14/2001,['6/14/2001']
329,a,6/26/2001,['6/26/2001']
330,a,5/17/2001,['5/17/2001']
331,a,5/17/2001,['5/17/2001']
332,a,2/15/2001,['2/15/2001']
333,a,2/15/2001,['2/15/2001']
334,a,2/15/2001,['2/15/2001']
335,a,3/30/2001,['3/30/2001']
336,a,8/13/2001,['8/13/2001']
337,a,8/30/2002,['8/30/2002']
338,a,8/30/2002,['8/30/2002']
339,a,8/30/2002,['8/30/2002']
340,a,5/16/2001,['5/16/2001']
341,a,5/16/2001,['5/16/2001']
342,a,5/16/2001,['5/16/2001']
343,a,5/16/2001,['5/16/2001']
344,a,7/27/2001,['7/27/2001']
345,a,4/26/2001,['4/26/2001']
346,a,1/21/2003 | 4/3/2002,4/3/2002
347,a,5/17/2001,['5/17/2001']
348,a,11/20/2001,['11/20/2001']
349,a,11/20/2001,['11/20/2001']
350,a,6/7/2001,['6/7/2001']
351,a,11/26/2001,['11/26/2001']
352,a,11/26/2001,['11/26/2001']
353,a,8/20/2001 | 4/24/2001 | 7/12/2001 | 6/ 18/2001,4/24/2001
354,a,1/15/2002,['1/15/2002']
355,a,6/7/2001,['6/7/2001']
356,a,6/7/2001,['6/7/2001']
357,a,2/4/2002,['2/4/2002']
358,a,5/10/2001,['5/10/2001']
359,a,7/5/2001 | 5/17/2002,7/5/2001
360,a,8/30/2002 | 8/28/2003,8/30/2002
361,a,8/28/2003 | 8/30/2002,8/30/2002
362,a,6/5/2001,['6/5/2001']
363,a,8/20/2001,['8/20/2001']
364,a,1/28/2002 | 5/23/2001,5/23/2001
365,a,8/15/2001 | 2/15/2002,8/15/2001
366,a,8/15/2001,['8/15/2001']
367,a,8/15/2001,['8/15/2001']
368,a,8/30/2001,['8/30/2001']
369,a,9/25/2001,['9/25/2001']
370,a,6/29/2001,['6/29/2001']
371,a,6/29/2001,['6/29/2001']
372,a,6/6/2001,['6/6/2001']
373,a,2/27/2001 | 5/29/2001 | 6/ 15/2001,2/27/2001
374,a,5/29/2001 | 2/27/2001 | 6/ 15/2001,2/27/2001
375,a,2/27/2001 | 5/29/2001 | 6/ 15/2001,2/27/2001
376,a,6/29/2001,['6/29/2001']
377,a,6/ 7/2001 | 2/19/2002,6/7/2001
378,a,6/28/2002,['6/28/2002']
379,a,12/14/2001 | 3/19/2002,12/14/2001
380,a,5/16/2002,['5/16/2002']
381,a,1/10/2002 | 3/7/2002,1/10/2002
382,a,8/17/2001 | 4/29/2002,8/17/2001
383,a,8/17/2001 | 4/29/2002,8/17/2001
384,a,8/17/2001 | 4/29/2002,8/17/2001
385,a,8/17/2001,['8/17/2001']
386,a,8/17/2001,['8/17/2001']
387,a,8/17/2001,['8/17/2001']
388,a,8/17/2001,['8/17/2001']
389,a,7/13/2001,['7/13/2001']
390,a,7/9/2001,['7/9/2001']
391,a,7/2/2001,['7/2/2001']
392,a,3/29/2002 | 11/9/2001,11/9/2001
393,a,12/14/2001,['12/14/2001']
394,a,10/5/2001 | 7/16/2001,7/16/2001
395,a,9/27/2001,['9/27/2001']
396,a,7/1/2002,['7/1/2002']
397,a,3/28/2001 | 8/20/2001,3/28/2001
398,a,8/20/2001 | 3/28/2001,3/28/2001
399,a,3/28/2001 | 8/20/2001,3/28/2001
400,a,10/29/2002,['10/29/2002']
401,a,3/6/2002 | 8/16/2001,8/16/2001
402,a,3/28/2002,['3/28/2002']
403,a,8/29/2001,['8/29/2001']
404,a,8/29/2001,['8/29/2001']
405,a,2/28/2002,['2/28/2002']
406,a,1/11/2001 | 9/28/2001,1/11/2001
407,a,9/6/2001,['9/6/2001']
408,a,9/6/2001,['9/6/2001']
409,a,11/8/2001,['11/8/2001']
410,a,2/25/2002,['2/25/2002']
411,a,2/25/2002,['2/25/2002']
412,a,11/9/2001,['11/9/2001']
413,a,8/14/2001,['8/14/2001']
414,a,7/1/2002,['7/1/2002']
415,a,2/12/2002,['2/12/2002']
416,a,9/25/2001,['9/25/2001']
417,a,3/28/2001 | 8/20/2001,3/28/2001
418,a,3/28/2001 | 8/20/2001,3/28/2001
419,a,8/20/2001 | 3/28/2001,3/28/2001
420,a,8/20/2001,['8/20/2001']
421,a,8/20/2001,['8/20/2001']
422,a,8/20/2001,['8/20/2001']
423,a,8/20/2001,['8/20/2001']
424,a,8/20/2001,['8/20/2001']
425,a,8/20/2001,['8/20/2001']
426,a,11/21/2001 | 2/28/2002,11/21/2001
427,a,11/21/2001,['11/21/2001']
428,a,12/11/2001 | 9/10/2001,9/10/2001
429,a,1/25/2002 | 5/31/2002,1/25/2002
430,a,4/18/2002,['4/18/2002']
431,a,8/23/2002 | 9/27/2001 | 5/23/2002,9/27/2001
432,a,8/23/2002 | 5/23/2002 | 9/27/2001,9/27/2001
433,a,12/4/2001,['12/4/2001']
434,a,9/18/2001,['9/18/2001']
435,a,9/18/2001,['9/18/2001']
436,a,5/13/2002 | 9/24/2002 | 6/ 20/2002,5/13/2002
437,a,10/5/2001,['10/5/2001']
438,a,11/5/2001 | 10/3/2001,10/3/2001
439,a,10/3/2001 | 11/5/2001,10/3/2001
440,a,12/12/2001 | 5/15/2001,5/15/2001
441,a,12/4/2001 | 5/15/2001,5/15/2001
442,a,10/26/2001,['10/26/2001']
443,a,11/24/2006,['11/24/2006']
444,a,12/19/2001,['12/19/2001']
445,a,12/19/2001,['12/19/2001']
446,a,10/12/2001,['10/12/2001']
447,a,10/12/2001,['10/12/2001']
448,a,10/12/2001,['10/12/2001']
449,a,8/29/2002,['8/29/2002']
450,a,10/16/2003 | 10/17/2002,10/17/2002
451,a,5/1/2002,['5/1/2002']
452,a,10/15/2001,['10/15/2001']
453,a,10/16/2001,['10/16/2001']
454,a,1/23/2002,['1/23/2002']
455,a,1/23/2002,['1/23/2002']
456,a,10/24/2001,['10/24/2001']
457,a,10/24/2001,['10/24/2001']
458,a,3/12/2002,['3/12/2002']
459,a,5/6/2002,['5/6/2002']
460,a,5/6/2002,['5/6/2002']
461,a,5/13/2002,['5/13/2002']
462,a,7/9/2002,['7/9/2002']
463,a,11/13/2001,['11/13/2001']
464,a,11/13/2001,['11/13/2001']
465,a,11/13/2001,['11/13/2001']
466,a,11/5/2001,['11/5/2001']
467,a,11/5/2001,['11/5/2001']
468,a,8/21/2002,['8/21/2002']
469,a,11/5/2001,['11/5/2001']
470,a,11/5/2001,['11/5/2001']
471,a,2/26/2002,['2/26/2002']
472,a,6/ 21/2002 | 11/9/2001,11/9/2001
473,a,6/ 21/2002 | 11/9/2001,11/9/2001
474,a,5/15/2002 | 6/ 13/2002,5/15/2002
475,a,2/15/2002 | 5/6/2002,2/15/2002
476,a,1/25/2001,['1/25/2001']
477,a,12/20/2001,['12/20/2001']
478,a,1/25/2002,['1/25/2002']
479,a,1/25/2002,['1/25/2002']
480,a,2/1/2002,['2/1/2002']
481,a,1/16/2002,['1/16/2002']
482,a,1/16/2002,['1/16/2002']
483,a,2/28/2002,['2/28/2002']
484,a,10/24/2002 | 8/8/2002,8/8/2002
485,a,12/10/2002 | 1/9/2002,1/9/2002
486,a,6/ 27/2002 | 10/28/2002,6/27/2002
487,a,2/3/2003 | 10/28/2002,10/28/2002
488,a,5/15/2001 | 2/12/2002,5/15/2001
489,a,5/15/2001 | 2/12/2002,5/15/2001
490,a,5/15/2001 | 2/12/2002,5/15/2001
491,a,10/25/2001,['10/25/2001']
492,a,2/11/2002,['2/11/2002']
493,a,12/20/2002 | 12/20/2002 | 12/18/2003,12/20/2002
494,a,2/19/2002,['2/19/2002']
495,a,4/26/2002,['4/26/2002']
496,a,1/28/2002,['1/28/2002']
497,a,1/8/2002,['1/8/2002']
498,a,3/27/2003,['3/27/2003']
499,a,7/23/2003 | 10/20/2003,7/23/2003
500,a,3/27/2002,['3/27/2002']
501,a,1/8/2002 | 2/20/2002 | 10/18/2002,1/8/2002
502,a,4/19/2002 | 1/9/2002,1/9/2002
503,a,4/19/2002 | 1/9/2002,1/9/2002
504,a,3/4/2002,['3/4/2002']
505,a,3/4/2002,['3/4/2002']
506,a,1/14/2002 | 3/25/2002,1/14/2002
507,a,12/5/2002 | 12/3/2003,12/5/2002
508,a,3/1/2002,['3/1/2002']
509,a,3/1/2002,['3/1/2002']
510,a,2/14/2002,['2/14/2002']
511,a,2/14/2002,['2/14/2002']
512,a,2/14/2002,['2/14/2002']
513,a,5/20/2003 | 8/28/2002,8/28/2002
514,a,12/19/2001,['12/19/2001']
515,a,3/12/2002 | 12/27/2001,12/27/2001
516,a,2/4/2002,['2/4/2002']
517,a,2/4/2002,['2/4/2002']
518,a,2/4/2002,['2/4/2002']
519,a,8/30/2002,['8/30/2002']
520,a,4/30/2002,['4/30/2002']
521,a,5/7/2001 | 5/30/2001 | 4/11/2002,5/7/2001
522,a,12/13/2002 | 10/17/2002 | 4/18/2003,10/17/2002
523,a,4/18/2003 | 10/17/2002 | 12/13/2002,10/17/2002
524,a,2/20/2002,['2/20/2002']
525,a,2/20/2002,['2/20/2002']
526,a,2/13/2004 | 12/12/2003 | 2/14/2003,2/14/2003
527,a,9/5/2002 | 7/31/2003,9/5/2002
528,a,3/11/2002,['3/11/2002']
529,a,3/11/2002,['3/11/2002']
530,a,8/27/2002,['8/27/2002']
531,a,8/28/2003,['8/28/2003']
532,a,4/11/2002,['4/11/2002']
533,a,4/11/2002,['4/11/2002']
534,a,4/8/2002 | 3/14/2002,3/14/2002
535,a,7/18/2002 | 7/18/2002,7/18/2002
536,a,7/18/2002 | 7/18/2002,7/18/2002
537,a,9/16/2003,['9/16/2003']
538,a,6/28/2002,['6/28/2002']
539,a,6/28/2002,['6/28/2002']
540,a,5/20/2002,['5/20/2002']
541,a,6/14/2002,['6/14/2002']
542,a,1/16/2003,['1/16/2003']
543,a,1/16/2003,['1/16/2003']
544,a,3/28/2001,['3/28/2001']
545,a,6/4/2002,['6/4/2002']
546,a,3/28/2003 | 5/21/2003,3/28/2003
547,a,6/20/2002,['6/20/2002']
548,a,7/29/2002,['7/29/2002']
549,a,7/29/2002,['7/29/2002']
550,a,4/15/2002,['4/15/2002']
551,a,7/2/2002 | 4/15/2002,4/15/2002
552,a,6/24/2002,['6/24/2002']
553,a,4/26/2002,['4/26/2002']
554,a,4/26/2002,['4/26/2002']
555,a,5/6/2002,['5/6/2002']
556,a,5/29/2002 | 7/15/2002,5/29/2002
557,a,7/16/2002 | 5/29/2002,5/29/2002
558,a,7/12/2002,['7/12/2002']
559,a,5/13/2002,['5/13/2002']
560,a,5/10/2002,['5/10/2002']
561,a,5/13/2002,['5/13/2002']
562,a,6/ 19/2002 | 5/13/2002,5/13/2002
563,a,6/ 19/2002 | 5/13/2002,5/13/2002
564,a,6/ 19/2002 | 5/13/2002,5/13/2002
565,a,1/27/2003 | 1/23/2004,1/27/2003
566,a,6/24/2002,['6/24/2002']
567,a,6/24/2002,['6/24/2002']
568,a,8/27/2002,['8/27/2002']
569,a,12/12/2002 | 8/27/2002,8/27/2002
570,a,12/12/2003,['12/12/2003']
571,a,12/12/2003,['12/12/2003']
572,a,6/20/2002,['6/20/2002']
573,a,6/20/2002,['6/20/2002']
574,a,6/20/2002,['6/20/2002']
575,a,10/10/2002,['10/10/2002']
576,a,8/27/2002,['8/27/2002']
577,a,11/18/2002,['11/18/2002']
578,a,6/10/2002,['6/10/2002']
579,a,6/10/2002,['6/10/2002']
580,a,2/23/2006,['2/23/2006']
581,a,6/5/2002,['6/5/2002']
582,a,6/5/2002,['6/5/2002']
583,a,8/23/2002 | 6/ 10/2002,6/10/2002
584,a,6/ 10/2002 | 8/23/2002,6/10/2002
585,a,10/3/2002,['10/3/2002']
586,a,7/9/2002,['7/9/2002']
587,a,7/9/2002,['7/9/2002']
588,a,5/30/2003,['5/30/2003']
589,a,7/25/2002,['7/25/2002']
590,a,7/9/2002,['7/9/2002']
591,a,11/26/2002,['11/26/2002']
592,a,9/26/2002,['9/26/2002']
593,a,6/27/2002,['6/27/2002']
594,a,10/25/2002 | 10/23/2003,10/25/2002
595,a,10/23/2003 | 10/25/2002,10/25/2002
596,a,10/25/2002 | 10/23/2003,10/25/2002
597,a,10/25/2002 | 10/23/2003,10/25/2002
598,a,10/23/2003 | 10/25/2002,10/25/2002
599,a,6/26/2002,['6/26/2002']
600,a,5/31/2003 | 10/25/2002,10/25/2002
601,a,5/31/2003 | 10/25/2002,10/25/2002
602,a,8/8/2002,['8/8/2002']
603,a,8/7/2002,['8/7/2002']
604,a,10/7/2002,['10/7/2002']
605,a,10/25/2002 | 10/23/2003 | 12/10/2002,10/25/2002
606,a,10/23/2003 | 12/10/2002 | 10/25/2002,10/25/2002
607,a,10/25/2002 | 10/23/2003 | 12/10/2002,10/25/2002
608,a,7/9/2002,['7/9/2002']
609,a,7/9/2002,['7/9/2002']
610,a,7/9/2002 | 10/1/2002,7/9/2002
611,a,7/8/2002,['7/8/2002']
612,a,7/8/2002,['7/8/2002']
613,a,7/8/2002,['7/8/2002']
614,a,12/10/2002,['12/10/2002']
615,a,12/10/2002,['12/10/2002']
616,a,8/9/2002,['8/9/2002']
617,a,8/9/2002,['8/9/2002']
618,a,10/23/2003 | 10/25/2002 | 10/25/2002 | 10/25/2002,10/25/2002
